Infor,Time,Elapsed
GAPIT,1459972975.46817,0
Genotype start,1459972975.55792,0.0897500514984131
Genotype loaded,1459972975.59658,0.0386600494384766
byFile,1459972975.67162,0.0750398635864258
Before Fragment,1459972975.70975,0.0381300449371338
After Fragment,1459972976.73789,1.0281400680542
END this Fragment,1459972976.80806,0.0701699256896973
Sampling genotype,1459972976.854,0.0459401607513428
set kinship,1459972976.89938,0.0453798770904541
prepare heatmap,1459972976.93932,0.0399401187896729
plot heatmap,1459972977.55396,0.6146399974823
Before SUPER,1459972977.62111,0.0671498775482178
Before PCA,1459972977.66319,0.0420799255371094
Before creating kinship,1459972977.70419,0.0410001277923584
after creating kinship,1459972977.75219,0.0480000972747803
after LD plot,1459972977.79332,0.0411298274993896
Genotype for all,1459972977.83471,0.0413899421691895
QC,1459973012.53072,34.6960101127625
SagnwichTop,1459973012.57031,0.0395901203155518
DataProcessing,1459973012.60913,0.0388197898864746
CP start,1459973012.64817,0.0390400886535645
Does this change memory0,1459973012.68601,0.0378398895263672
CP distance,1459973012.72484,0.038830041885376
CP cluster,1459973012.78754,0.0627000331878662
CP cutree,1459973012.84654,0.0590000152587891
CP calculation original,1459973012.94218,0.0956399440765381
CP calculation,1459973012.99999,0.0578100681304932
PreP3D 2_cp,1459973013.03981,0.0398199558258057
PreP3D 2_bk,1459973013.08641,0.0466001033782959
PreP3D 2_zc,1459973013.16233,0.0759198665618896
Prio PreP3D,1459973013.20966,0.0473301410675049
P3D Start,1459973013.25376,0.0441000461578369
eig.L,1459973013.32691,0.0731499195098877
eig.R,1459973013.43176,0.104850053787231
REML,1459973013.53967,0.107909917831421
eig.R removed,1459973013.63602,0.0963499546051025
Trait,1459973013.71307,0.0770499706268311
REML,1459973013.80394,0.0908701419830322
eig.R removed,1459973013.89945,0.0955100059509277
REMLE removed,1459973013.97909,0.0796399116516113
U Matrix,1459973014.01858,0.0394899845123291
eig.L removed,1459973014.09501,0.076430082321167
New Genotype file,1459973014.13347,0.0384600162506104
Before cleaning,1459973014.17871,0.0452399253845215
After cleaning,1459973014.27005,0.0913400650024414
Memory allocation,1459973014.30917,0.0391199588775635
ReducedModel,1459973014.34835,0.0391800403594971
before Dt clean,1459973014.38703,0.038679838180542
Dt clean,1459973014.46289,0.0758600234985352
BLUP,1459973014.50135,0.0384600162506104
PEV,1459973014.61065,0.109300136566162
K normal,1459973014.66944,0.0587899684906006
K set to 1,1459973014.75487,0.0854299068450928
Screening SNPs,1459973014.79558,0.0407099723815918
GWAS done for this Trait,1459973014.83909,0.0435101985931396
Post PreP3D,1459973014.88049,0.0413999557495117
CP start,1459973014.91986,0.0393698215484619
Does this change memory0,1459973014.95988,0.040020227432251
CP distance,1459973014.99921,0.0393297672271729
CP cluster,1459973015.0605,0.0612900257110596
CP cutree,1459973015.11941,0.0589101314544678
CP calculation original,1459973015.21771,0.0982999801635742
CP calculation,1459973015.27549,0.0577800273895264
PreP3D 2_cp,1459973015.3155,0.0400099754333496
PreP3D 2_bk,1459973015.36204,0.0465400218963623
PreP3D 2_zc,1459973015.4251,0.0630600452423096
GWAS,1459973024.99283,9.56772994995117
GWAS,1459973027.91868,2.92584991455078
Final,1459973028.03991,0.121230125427246
GPS,1459973028.11407,0.0741598606109619
Compression.Visualization,1459973028.18031,0.0662400722503662
Extract p3d results,1459973028.22291,0.0425999164581299
Extract GWAS start,1459973028.26424,0.041330099105835
MAF filtered,1459973028.30814,0.0439000129699707
Multiple Correction,1459973028.3486,0.0404598712921143
QQ plot,1459973028.39956,0.0509600639343262
Manhattan plot,1459973028.45742,0.0578601360321045
Extract GWAS end,1459973028.51675,0.0593299865722656
Report,1459973028.56104,0.0442898273468018
