PC1,PC2,PC3,PC4,PC5
-0.00271223393099331,0.0174627009580564,0.00401062128550575,-0.0346222129636415,0.0288305496834205
-0.0299990213859449,-0.0226018469133698,0.0172852735162035,-0.0224223119270237,0.0326695936660482
-0.00305522124899897,0.033106643103173,-0.00334733428338998,-0.00296809093909348,-0.0143152974357277
-0.0366853201328954,-0.00678714709576173,0.00321585804497914,0.000479625045039257,0.0460191362675372
0.00917205545470255,-0.0493658160990864,-0.0242896129337036,0.0111681849620708,-0.03322786689169
0.031217282619185,-0.0326328970744639,0.0453334269438329,0.0109812522151451,0.0420956741647611
0.00383690016488282,0.0502879972781893,0.023027357708427,-0.00271564144579218,0.00224422322373803
0.0101438013792913,-0.00234325967292442,-0.00780790650924409,-0.00117109994292874,-0.00915088685212367
-0.0043353711636115,-0.00365448271660726,0.00655885124077542,0.00104984410438392,0.00649193412608502
-0.00404323952387572,5.37063774567491e-05,0.0061614135522278,-0.0110663075171032,-0.00285369311212811
0.0251922724056067,0.0248710875867422,-0.00174574284644459,-0.0153072068813594,0.0200579757896271
0.0013897471773494,0.0430979506505043,-0.0143142270960465,-0.0369405346036166,0.0145568593208524
-0.00859976854028235,-0.0177216479244884,0.0147003342909598,0.0103168215552661,-0.0320651038586461
-0.0108934066337404,-0.0154406426364803,0.0134752847547758,0.0089899184994655,-0.0245089995862736
0.0110797892580546,0.0130310355654973,-0.0133007362652469,-0.0144920613033065,0.0379079939244996
0.04839519054763,0.0140470098810456,-0.0101918455284747,-0.0159102783797984,-0.00130462385529564
7.08977557850972e-17,-3.80201632110952e-17,1.09737919686718e-17,9.39034551734416e-17,-5.0413214315445e-17
-0.000902423584119325,0.000801191585359795,-0.00166359120858989,-0.000648843495089567,0.000558697156614104
-0.000902423584119378,0.000801191585359578,-0.0016635912085899,-0.000648843495089454,0.000558697156614227
-0.000492359182604214,-0.00137950241197939,0.000724939963725663,0.00182344743802437,-0.00293617259095333
5.03879947085889e-16,1.70182973611684e-16,2.333601010317e-16,-2.80383651028884e-17,-2.18604305182441e-17
0.0179379389274094,-0.00518924858723213,-0.0087496644697144,0.00688943562695649,-0.0237785727590728
0.00570191375912355,-0.0107876707626021,0.0013202329523614,0.00296549999649601,0.00268497375679994
